name,address,services,status
"Legal Name: DAHABSHIIL FINANCIAL TRANSFERS INC.,  Operating Name: DAHABSHIIL FINANCIAL TRANSFERS","228 BERING AVE UNIT 2,TORONTO,ONTARIO,CANADA,M8Z3A3","Foreign Exchange, Money Transferring",Registered
"Legal Name: SWEFTLY CHAINFLOW TECHNOLOGIES LTD,  Operating Name: SWEFTLY CHAINFLOW TECHNOLOGIES LTD","5-1/2 CHURCH STREET,TORONTO,ONTARIO,CANADA,M5B 1Y4","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: 1744786 ONTARIO INC,  Operating Name: COLLEGE CURRENCY INVESTMENTS INC.","437A YONGE ST.,TORONTO,ONTARIO,CANADA,M5B1T3",Foreign Exchange,Registered
"Legal Name: KVB CANADA INC,  Operating Name: KVB CANADA INC","130 KING ST. WEST, SUITE 2130,TORONTO,ONTARIO,CANADA,M5X1B1","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: MEMON FINMARK INC,  Operating Name: FINMARK FINANCIALS","3031-A HURONTARIO ST,MISSISSAUGA,ONTARIO,CANADA,L5A2G9","Foreign Exchange, Money Transferring",Registered
"Legal Name: DJONEV, ROBERTINO,  Operating Name: OTTAWA FOREIGN EXCHANGE","101-1500 BANK ST,OTTAWA,ONTARIO,CANADA,K1H7Z2",Foreign Exchange,Registered
"Legal Name: NATIONAL MONEY MART COMPANY,  Operating Name: MONEY MART; INSTA-CHEQUES","20 TORONTO STREET, SUITE 1220,TORONTO,ONTARIO,CANADA,M5C 2B8","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders",Registered
"Legal Name: MTFX GLOBAL INC.,  Operating Name: MTFX GLOBAL INC.","UNIT 401 - 18 WYNFORD DRIVE,NORTH YORK,ONTARIO,CANADA,M3C 3S2","Foreign Exchange, Money Transferring",Registered
"Legal Name: SNOWCOIN EXCHANGE INC.,  Operating Name: SNOWCOIN EXCHANGE INC.","155A - 2960 DREW ROAD,MISSISSAUGA,ONTARIO,CANADA,L4T 0A5","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: RAHMAN GENERAL TRADING INC.,  Operating Name: PRIME EXCHANGE CASH ME","10097 YONGE STREET,RICHMOND HILL,ONTARIO,CANADA,L4C 1T7","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP, Cheque Cashing, WLATM",Registered
